RAM 5617/15825MB (lfb 247x4MB) SWAP 6/7912MB (cached 0MB) CPU [79%@2265,78%@2265,78%@2265,92%@2265,75%@2265,78%@2265,78%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 2% AO@44.5C GPU@52C Tdiode@47C PMIC@50C AUX@46C CPU@52C thermal@48.8C Tboard@43C GPU 0/0 CPU 11175/11175 SOC 3367/3367 CV 0/0 VDDRQ 1071/1071 SYS5V 3104/3104
RAM 5618/15825MB (lfb 247x4MB) SWAP 6/7912MB (cached 0MB) CPU [90%@2265,90%@2265,96%@2265,93%@2265,90%@2265,90%@2265,94%@2265,90%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 1% AO@44.5C GPU@52C Tdiode@47C PMIC@50C AUX@46C CPU@52C thermal@49.6C Tboard@43C GPU 0/0 CPU 11634/11404 SOC 3061/3214 CV 0/0 VDDRQ 612/841 SYS5V 2862/2983
RAM 5665/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [80%@2265,81%@2265,97%@2265,80%@2265,80%@2265,80%@2265,80%@2265,80%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 2% AO@45C GPU@52C Tdiode@47.25C PMIC@50C AUX@46.5C CPU@52C thermal@50.05C Tboard@43C GPU 0/0 CPU 11634/11481 SOC 3214/3214 CV 0/0 VDDRQ 765/816 SYS5V 2983/2983
RAM 5670/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,83%@2265,98%@2265,85%@2265,85%@2265,82%@2265,85%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@45C GPU@53C Tdiode@47.25C PMIC@50C AUX@46.5C CPU@52.5C thermal@49.3C Tboard@43C GPU 0/0 CPU 11634/11519 SOC 3061/3175 CV 0/0 VDDRQ 612/765 SYS5V 2903/2963
RAM 5750/15825MB (lfb 216x4MB) SWAP 6/7912MB (cached 0MB) CPU [89%@2265,87%@2265,97%@2265,86%@2265,86%@2265,86%@2265,86%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@45C GPU@51.5C Tdiode@47.5C PMIC@50C AUX@46.5C CPU@51.5C thermal@49.8C Tboard@43C GPU 0/0 CPU 11022/11419 SOC 3061/3152 CV 0/0 VDDRQ 612/734 SYS5V 2903/2951
RAM 5673/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,86%@2265,84%@2265,96%@2265,86%@2265,88%@2265,86%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@45C GPU@52C Tdiode@47.5C PMIC@50C AUX@46.5C CPU@52C thermal@50.25C Tboard@43C GPU 0/0 CPU 11328/11404 SOC 3061/3137 CV 0/0 VDDRQ 612/714 SYS5V 2903/2943
RAM 5693/15825MB (lfb 229x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,87%@2265,98%@2265,86%@2265,87%@2265,85%@2265,87%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@45C GPU@53C Tdiode@47.5C PMIC@50C AUX@46.5C CPU@52.5C thermal@49.8C Tboard@43C GPU 0/0 CPU 11787/11459 SOC 3061/3126 CV 0/0 VDDRQ 612/699 SYS5V 2903/2937
RAM 5711/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,86%@2265,97%@2265,86%@2265,88%@2265,85%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@45.5C GPU@51.5C Tdiode@47.75C PMIC@50C AUX@46.5C CPU@51.5C thermal@50.75C Tboard@43C GPU 0/0 CPU 11022/11404 SOC 3061/3118 CV 0/0 VDDRQ 612/688 SYS5V 2903/2933
RAM 5673/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,85%@2265,98%@2265,86%@2265,86%@2265,87%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@45C GPU@53.5C Tdiode@47.75C PMIC@50C AUX@47C CPU@53C thermal@50.75C Tboard@43C GPU 0/0 CPU 11787/11447 SOC 3061/3112 CV 0/0 VDDRQ 612/680 SYS5V 2903/2929
RAM 5785/15825MB (lfb 208x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,85%@2265,97%@2265,85%@2265,86%@2265,85%@2265,84%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@45.5C GPU@53C Tdiode@47.75C PMIC@50C AUX@47C CPU@52.5C thermal@50.75C Tboard@43C GPU 0/0 CPU 11328/11435 SOC 3061/3106 CV 0/0 VDDRQ 612/673 SYS5V 2903/2927
RAM 5675/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,86%@2265,98%@2265,85%@2265,85%@2265,85%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@45.5C GPU@53.5C Tdiode@48C PMIC@50C AUX@47C CPU@53C thermal@50.45C Tboard@43C GPU 0/0 CPU 11328/11425 SOC 3061/3102 CV 0/0 VDDRQ 612/667 SYS5V 2903/2924
RAM 5774/15825MB (lfb 211x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,84%@2265,85%@2265,98%@2265,86%@2265,84%@2265,86%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@45.5C GPU@53.5C Tdiode@48C PMIC@50C AUX@47C CPU@53C thermal@50.75C Tboard@43C GPU 0/0 CPU 11634/11442 SOC 3061/3099 CV 0/0 VDDRQ 612/663 SYS5V 2943/2926
RAM 5750/15825MB (lfb 218x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,84%@2265,84%@2265,98%@2265,85%@2265,83%@2265,84%@2265,87%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@45.5C GPU@55C Tdiode@48C PMIC@50C AUX@47.5C CPU@54.5C thermal@51.25C Tboard@43C GPU 0/0 CPU 13160/11574 SOC 3060/3096 CV 0/0 VDDRQ 611/659 SYS5V 2943/2927
RAM 5688/15825MB (lfb 232x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,82%@2265,82%@2265,100%@2265,82%@2265,82%@2265,82%@2265,81%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46C GPU@54.5C Tdiode@48.25C PMIC@50C AUX@47.5C CPU@54C thermal@51.85C Tboard@43C GPU 0/0 CPU 12389/11633 SOC 3519/3126 CV 0/0 VDDRQ 1070/688 SYS5V 3144/2943
RAM 5754/15825MB (lfb 217x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,86%@2265,98%@2265,86%@2265,86%@2265,88%@2265,87%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@45.5C GPU@54C Tdiode@48.25C PMIC@50C AUX@47.5C CPU@53.5C thermal@50.95C Tboard@43C GPU 0/0 CPU 12247/11673 SOC 3060/3122 CV 0/0 VDDRQ 612/683 SYS5V 2983/2945
RAM 5697/15825MB (lfb 232x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,84%@2265,86%@2265,84%@2265,85%@2265,85%@2265,99%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@54C Tdiode@48.25C PMIC@50C AUX@47.5C CPU@53.5C thermal@50.95C Tboard@43C GPU 0/0 CPU 12247/11709 SOC 3061/3118 CV 0/0 VDDRQ 612/678 SYS5V 2903/2943
RAM 5762/15825MB (lfb 216x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,84%@2265,85%@2265,84%@2265,85%@2265,86%@2265,98%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@54C Tdiode@48.25C PMIC@50C AUX@47.5C CPU@53.5C thermal@50.95C Tboard@43C GPU 0/0 CPU 12247/11741 SOC 3061/3114 CV 0/0 VDDRQ 612/674 SYS5V 2903/2940
RAM 5705/15825MB (lfb 229x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,87%@2265,87%@2265,86%@2265,86%@2265,86%@2265,99%@2265,86%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@54C Tdiode@48.25C PMIC@50C AUX@47.5C CPU@53.5C thermal@51.25C Tboard@43C GPU 0/0 CPU 12247/11769 SOC 3060/3111 CV 0/0 VDDRQ 612/671 SYS5V 2903/2938
RAM 5706/15825MB (lfb 229x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,87%@2265,87%@2265,87%@2265,87%@2265,86%@2265,99%@2265,86%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@54.5C Tdiode@48.25C PMIC@50C AUX@47.5C CPU@54C thermal@50.95C Tboard@43C GPU 0/0 CPU 12400/11802 SOC 3060/3109 CV 0/0 VDDRQ 612/668 SYS5V 2903/2936
RAM 5685/15825MB (lfb 233x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,83%@2265,82%@2265,82%@2265,84%@2265,82%@2265,99%@2265,82%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 1% AO@46C GPU@55C Tdiode@48.5C PMIC@50C AUX@48C CPU@54.5C thermal@52.35C Tboard@43C GPU 0/0 CPU 13154/11870 SOC 3365/3121 CV 0/0 VDDRQ 917/680 SYS5V 3104/2945
RAM 5734/15825MB (lfb 218x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,85%@2265,84%@2265,84%@2265,84%@2265,84%@2265,99%@2265,84%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46C GPU@53.5C Tdiode@48.5C PMIC@50C AUX@48C CPU@53C thermal@52.35C Tboard@43C GPU 0/0 CPU 12088/11880 SOC 3213/3126 CV 0/0 VDDRQ 765/684 SYS5V 3024/2948
RAM 5667/15825MB (lfb 234x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,87%@2265,85%@2265,85%@2265,85%@2265,86%@2265,99%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46C GPU@54C Tdiode@48.5C PMIC@50C AUX@48C CPU@53.5C thermal@51.45C Tboard@43C GPU 0/0 CPU 11940/11883 SOC 3061/3123 CV 0/0 VDDRQ 612/681 SYS5V 2903/2946
