02-22-2023 20:47:36 RAM 4990/14907MB (lfb 676x4MB) SWAP 777/7454MB (cached 2MB) CPU [1%@2265,1%@2264,0%@2265,0%@2265,0%@2263,0%@2265,93%@2265,0%@2264] EMC_FREQ 1%@2133 GR3D_FREQ 8%@114 VIC_FREQ 115 APE 150 AUX@46C CPU@48.5C thermal@46.7C Tboard@44C AO@44.5C GPU@46.5C Tdiode@47.25C PMIC@50C GPU 307mW/307mW CPU 2304mW/2304mW SOC 2763mW/2763mW CV 0mW/0mW VDDRQ 307mW/307mW SYS5V 3024mW/3024mW
02-22-2023 20:47:37 RAM 5183/14907MB (lfb 628x4MB) SWAP 777/7454MB (cached 2MB) CPU [11%@2265,1%@2265,82%@2265,1%@2265,2%@2266,4%@2268,5%@2265,10%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 11%@114 VIC_FREQ 115 APE 150 AUX@46C CPU@48.5C thermal@46.7C Tboard@44C AO@44.5C GPU@46.5C Tdiode@47.25C PMIC@50C GPU 307mW/307mW CPU 2611mW/2457mW SOC 2763mW/2763mW CV 0mW/0mW VDDRQ 306mW/306mW SYS5V 3024mW/3024mW
02-22-2023 20:47:38 RAM 5356/14907MB (lfb 586x4MB) SWAP 777/7454MB (cached 2MB) CPU [1%@2264,0%@2264,74%@2265,0%@2265,0%@2270,0%@2258,0%@2265,0%@2265] EMC_FREQ 2%@2133 GR3D_FREQ 31%@624 VIC_FREQ 115 APE 150 AUX@46C CPU@48.5C thermal@46.7C Tboard@44C AO@44.5C GPU@47C Tdiode@47.25C PMIC@50C GPU 768mW/460mW CPU 1843mW/2252mW SOC 2456mW/2660mW CV 0mW/0mW VDDRQ 460mW/357mW SYS5V 2983mW/3010mW
02-22-2023 20:47:39 RAM 6174/14907MB (lfb 581x4MB) SWAP 777/7454MB (cached 2MB) CPU [7%@2271,0%@2260,96%@2260,3%@2265,0%@2265,0%@2263,1%@2265,0%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 36%@420 VIC_FREQ 115 APE 150 AUX@46C CPU@48.5C thermal@47.05C Tboard@44C AO@45C GPU@47C Tdiode@47.25C PMIC@50C GPU 1074mW/614mW CPU 2303mW/2265mW SOC 3069mW/2762mW CV 0mW/0mW VDDRQ 613mW/421mW SYS5V 3144mW/3043mW
02-22-2023 20:47:40 RAM 7135/14907MB (lfb 576x4MB) SWAP 777/7454MB (cached 2MB) CPU [0%@2265,0%@2263,97%@2265,0%@2265,0%@2261,0%@2265,0%@2265,0%@2261] EMC_FREQ 6%@2133 GR3D_FREQ 32%@420 VIC_FREQ 115 APE 150 AUX@46C CPU@48.5C thermal@47.05C Tboard@44C AO@45C GPU@47C Tdiode@47.25C PMIC@50C GPU 1074mW/706mW CPU 2303mW/2272mW SOC 3069mW/2824mW CV 0mW/0mW VDDRQ 613mW/459mW SYS5V 3144mW/3063mW
02-22-2023 20:47:41 RAM 7431/14907MB (lfb 576x4MB) SWAP 777/7454MB (cached 2MB) CPU [0%@2265,0%@2266,86%@2266,0%@2260,0%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 29%@420 VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.2C Tboard@44C AO@45C GPU@47.5C Tdiode@47.5C PMIC@50C GPU 1381mW/818mW CPU 2149mW/2252mW SOC 3222mW/2890mW CV 0mW/0mW VDDRQ 767mW/511mW SYS5V 3225mW/3090mW
02-22-2023 20:47:42 RAM 7801/14907MB (lfb 574x4MB) SWAP 777/7454MB (cached 2MB) CPU [2%@2265,0%@2265,92%@2265,1%@2265,6%@2266,0%@2265,1%@2265,8%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 47%@420 VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.2C Tboard@44C AO@45C GPU@47.5C Tdiode@47.5C PMIC@50C GPU 1381mW/898mW CPU 2303mW/2259mW SOC 3069mW/2915mW CV 0mW/0mW VDDRQ 767mW/547mW SYS5V 3185mW/3104mW
02-22-2023 20:47:43 RAM 7952/14907MB (lfb 573x4MB) SWAP 777/7454MB (cached 2MB) CPU [0%@2264,0%@2265,91%@2265,0%@2269,0%@2264,0%@2265,0%@2265,0%@2264] EMC_FREQ 7%@2133 GR3D_FREQ 43%@420 VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.2C Tboard@44C AO@45C GPU@47.5C Tdiode@47.75C PMIC@50C GPU 1381mW/959mW CPU 2149mW/2245mW SOC 3069mW/2935mW CV 0mW/0mW VDDRQ 767mW/575mW SYS5V 3185mW/3114mW
02-22-2023 20:47:44 RAM 7952/14907MB (lfb 573x4MB) SWAP 777/7454MB (cached 2MB) CPU [2%@2264,0%@2263,92%@2265,2%@2264,0%@2266,0%@2266,4%@2265,4%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 42%@624 VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.35C Tboard@44C AO@45C GPU@47.5C Tdiode@47.75C PMIC@50C GPU 1534mW/1023mW CPU 2455mW/2268mW SOC 3222mW/2966mW CV 0mW/0mW VDDRQ 767mW/596mW SYS5V 3225mW/3126mW
02-22-2023 20:47:45 RAM 7952/14907MB (lfb 573x4MB) SWAP 777/7454MB (cached 2MB) CPU [1%@2265,0%@2265,94%@2265,0%@2265,0%@2265,0%@2263,1%@2265,1%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 40%@624 VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.35C Tboard@44C AO@45C GPU@48C Tdiode@47.75C PMIC@50C GPU 1688mW/1089mW CPU 2302mW/2272mW SOC 3222mW/2992mW CV 0mW/0mW VDDRQ 767mW/613mW SYS5V 3225mW/3136mW
02-22-2023 20:47:46 RAM 7952/14907MB (lfb 573x4MB) SWAP 777/7454MB (cached 2MB) CPU [0%@2264,0%@2265,95%@2265,0%@2264,0%@2265,0%@2265,0%@2264,0%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 53%@624 VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@47.5C Tboard@44C AO@45C GPU@48C Tdiode@48C PMIC@50C GPU 1688mW/1143mW CPU 2148mW/2260mW SOC 3222mW/3013mW CV 0mW/0mW VDDRQ 767mW/627mW SYS5V 3185mW/3140mW
02-22-2023 20:47:47 RAM 7951/14907MB (lfb 573x4MB) SWAP 777/7454MB (cached 2MB) CPU [6%@2265,1%@2265,97%@2269,1%@2264,8%@2265,0%@2265,4%@2265,0%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 36%@624 VIC_FREQ 115 APE 150 AUX@46C CPU@49.5C thermal@47.7C Tboard@44C AO@45.5C GPU@48C Tdiode@48C PMIC@50C GPU 1534mW/1176mW CPU 2302mW/2264mW SOC 3069mW/3017mW CV 0mW/0mW VDDRQ 767mW/639mW SYS5V 3185mW/3144mW
02-22-2023 20:47:48 RAM 7951/14907MB (lfb 573x4MB) SWAP 777/7454MB (cached 2MB) CPU [0%@2266,0%@2265,96%@2265,0%@2260,0%@2265,0%@2265,0%@2265,0%@2264] EMC_FREQ 8%@2133 GR3D_FREQ 39%@624 VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@47.5C Tboard@44C AO@45.5C GPU@48C Tdiode@48C PMIC@50C GPU 1534mW/1203mW CPU 2302mW/2267mW SOC 3069mW/3021mW CV 0mW/0mW VDDRQ 767mW/648mW SYS5V 3185mW/3147mW
02-22-2023 20:47:49 RAM 8135/14907MB (lfb 573x4MB) SWAP 777/7454MB (cached 2MB) CPU [2%@2265,0%@2264,99%@2264,0%@2264,2%@2265,0%@2265,4%@2263,2%@2264] EMC_FREQ 7%@2133 GR3D_FREQ 27%@624 VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@47.85C Tboard@44C AO@45.5C GPU@48C Tdiode@48.25C PMIC@50C GPU 1227mW/1205mW CPU 2456mW/2280mW SOC 3069mW/3025mW CV 0mW/0mW VDDRQ 613mW/646mW SYS5V 3144mW/3147mW
